,missing_count,missing_percent,infinite_count,mean,median,std
4.50_48,23,5.48,0,0.0,0.0,0.0
4.51_48,23,5.48,0,0.0,0.0,0.0
4.52_48,23,5.48,0,0.0,0.0,0.0
4.53_48,23,5.48,0,0.0,0.0,0.0
4.54_48,23,5.48,0,0.0,0.0,0.0
4.55_48,23,5.48,0,0.0,0.0,0.0
4.56_48_CP,23,5.48,0,0.010075566750629723,0.0,0.09999618342461196
4.57_48_CP,23,5.48,0,0.08564231738035265,0.0,0.2801882538556126
4.58_48_CP,23,5.48,0,0.0025188916876574307,0.0,0.050188561322849504
4.59_48_CP,23,5.48,0,0.017632241813602016,0.0,0.1317766543611123
4.60_48_CP,23,5.48,0,0.4181360201511335,0.0,0.49387516481545685
4.61_48_CP,23,5.48,0,0.0654911838790932,0.0,0.2477027239298786
4.62_48,23,5.48,0,0.037783375314861464,0.0,0.19091254390398682
4.63_46,23,5.48,0,0.10579345088161209,0.0,0.3079611802530627
4.64_37,23,5.48,0,0.5591939546599496,1.0,0.497110189565073
5.33_21_CP,23,5.48,0,0.05037783375314862,0.0,0.218999350380344
5.34_23,23,5.48,0,0.04534005037783375,0.0,0.2083113872877214
5.35_35_CP,23,5.48,0,0.6146095717884131,1.0,0.4873015381671472
5.36_40_CP,23,5.48,0,0.12594458438287154,0.0,0.33220555726069556
5.37_41_CP,23,5.48,0,0.03526448362720403,0.0,0.18468029452244458
5.38_44,23,5.48,0,0.3123425692695214,0.0,0.46403348399564803
5.39_47_CP,23,5.48,0,0.5491183879093199,1.0,0.49820939838162276
5.40_48_CP,23,5.48,0,0.11083123425692695,0.0,0.3143191523388419
5.41_48,23,5.48,0,0.007556675062972292,0.0,0.08670934227291631
5.42_48,23,5.48,0,0.46851385390428213,0.0,0.499637300706303
5.43_48_CP,23,5.48,0,0.12846347607052896,0.0,0.3350273723190951
5.44_48_CP,23,5.48,0,0.030226700251889168,0.0,0.17142657229652786
5.45_48,23,5.48,0,0.007556675062972292,0.0,0.08670934227291638
5.46_48_CP,23,5.48,0,0.1385390428211587,0.0,0.34590078803571445
5.47_48_CP,23,5.48,0,0.04030226700251889,0.0,0.19691537771260115
5.48_47,23,5.48,0,0.012594458438287154,0.0,0.11165680313525571
5.49_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.50_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.51_48,23,5.48,0,0.005037783375314861,0.0,0.07088766959157741
5.52_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284946
5.53_48,23,5.48,0,0.0,0.0,0.0
5.54_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.55_48,23,5.48,0,0.0,0.0,0.0
5.56_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.57_48,23,5.48,0,0.0,0.0,0.0
5.58_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.59_48,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.60_48,23,5.48,0,0.0,0.0,0.0
5.61_48,23,5.48,0,0.0,0.0,0.0
5.62_47,23,5.48,0,0.0,0.0,0.0
5.63_46,23,5.48,0,0.0,0.0,0.0
5.64_46,23,5.48,0,0.0,0.0,0.0
5.65_45,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.66_44,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.67_44,23,5.48,0,0.0025188916876574307,0.0,0.05018856132284954
5.68_40,23,5.48,0,0.0,0.0,0.0
5.69_31,23,5.48,0,0.0,0.0,0.0
5.70_29,23,5.48,0,0.0,0.0,0.0
5.71_28,23,5.48,0,0.0,0.0,0.0
5.72_27,23,5.48,0,0.0,0.0,0.0
6.24_23,23,5.48,0,0.0,0.0,0.0
6.25_27,23,5.48,0,0.0,0.0,0.0
6.26_31,23,5.48,0,0.0,0.0,0.0
6.27_33,23,5.48,0,0.0,0.0,0.0
6.28_36,23,5.48,0,0.0,0.0,0.0
6.29_41,23,5.48,0,0.0,0.0,0.0
6.30_43,23,5.48,0,0.0,0.0,0.0
6.31_45,23,5.48,0,0.0,0.0,0.0
6.32_46,23,5.48,0,0.0,0.0,0.0
6.33_48,23,5.48,0,0.0,0.0,0.0
6.34_48,23,5.48,0,0.0,0.0,0.0
6.35_48,23,5.48,0,0.0,0.0,0.0
6.36_48,23,5.48,0,0.0,0.0,0.0
